STT,Nhóm chức năng,Mã BE,Use Case,Tên API,Method,Path đầy đủ,Auth,Trạng thái BE,Luồng người dùng & mô tả API,Flutter Repository,Màn hình / Route Flutter,Query params,Request body,Response data,Mã lỗi HTTP,Độ ưu tiên,Ghi chú kỹ thuật (dev)
28,Đơn hàng,BE-024,UC-19,Danh sách đơn,GET,/api/orders,Bearer,Đã có,Tab «Hoạt động» hoặc «Lịch sử đơn»: app gọi API lấy danh sách đơn của người dùng (đang chạy / đã xong / lọc trạng thái) → hiện từng thẻ đơn. Chạm một đơn → màn theo dõi chuyến.,customer_orders_repository.dart → fetchOrders(),Tab Hoạt động; /orders/history,status; page; limit; active_only; completed_only,,Order[] + provider,401,P0,Thay mock khi có JWT. conversationId để mở chat.
29,Đơn hàng,BE-024,UC-19,Chi tiết đơn,GET,/api/orders/:id,Bearer,Đã có,"Khi vào chi tiết/theo dõi một đơn: app có thể gọi API lấy thông tin đầy đủ đơn đó (địa chỉ, giá, trạng thái, nhà xe).",customer_orders_repository.dart,/orders/:id/tracking,,,Order,404,P0,
30,Đơn hàng,BE-023,UC-11,Tạo đơn chuyển xe,POST,/api/orders,Bearer,Đã có,Màn thanh toán: người dùng bấm «Đặt cọc» / «Xác nhận». Trước hết API tạo đơn hàng (trạng thái chờ nhà xe). Có mã đơn rồi → bước tiếp: API đặt cọc (dòng 38). Thành công cả chuỗi → sang màn theo dõi chuyến. Đơn từ Pass đồ: gửi kèm mã tin pass để hệ thống liên kết.,customer_orders_repository.dart → createOrder(),/booking/payment,,pickup_*; delivery_*; prices; provider_id; pass_item_id?; promotion_code?; labor_provider_id?,Order pending,422,P0,customer_orders_repository đã có skeleton — bổ sung field thiếu.
31,Đơn hàng,BE-027,UC-11,Tạo đơn khuân vác,POST,/api/orders/labor,Bearer,Chưa có,Luồng chỉ đặt khuân vác (hoặc thêm khuân vác vào đơn đang có): tương tự tạo đơn nhưng loại «khuân vác» — sau đó thanh toán và theo dõi.,labor_repository.dart,/booking/labor/*; payment,,mode; linked_order_id?; labor_provider_id; helper_count; hours; addresses,Order,401,P1,
32,Đơn hàng,BE-025,UC-13,Hủy đơn,PATCH,/api/orders/:id/cancel,Bearer,Chưa có,"Khi đơn còn cho phép hủy: người dùng bấm «Hủy đơn» → nhập lý do → API hủy → thẻ đơn chuyển «Đã hủy», có thể hoàn tiền theo chính sách (backend xử lý).",customer_orders_repository.dart,activity; tracking,,reason,Order cancelled,400,P1,
33,Đơn hàng,BE-031,UC-13,Xác nhận hoàn thành,POST,/api/orders/:id/confirm-complete,Bearer,Chưa có,"Màn theo dõi: sau khi tài xế báo hoàn thành, người dùng bấm «Xác nhận đã nhận hàng / hoàn thành» → API xác nhận → đơn chuyển hoàn tất → gợi ý sang màn đánh giá.",order_tracking_page,/orders/:id/tracking,,,Order completed,400,P1,
34,Theo dõi,BE-050,UC-13,Tracking tổng hợp,GET,/api/orders/:id/tracking,Bearer,Chưa có,"Màn «Theo dõi chuyến»: app gọi API một lần lấy đủ: trạng thái đơn, thông tin tài xế, vị trí trên bản đồ (nếu có), timeline các bước (đang lấy hàng, đang giao…), nút chat với nhà xe. Kéo refresh → gọi lại.",customer_orders_repository.dart → fetchTracking(),/orders/:id/tracking,,,order; provider; location; events; conversation_id; eta,404,P0,Thay mock_orders_data.trackingFor.
35,Theo dõi,BE-053,UC-13,ETA,GET,/api/orders/:id/eta,Bearer,Chưa có,Cùng màn theo dõi (tùy chọn): app gọi nhẹ API chỉ lấy «còn khoảng X phút» để cập nhật dòng ETA mà không tải cả trang.,order_tracking_page,/orders/:id/tracking,,,eta_minutes,404,P2,
36,Theo dõi,BE-052,UC-59,Realtime,REALTIME,supabase:order:{orderId},Bearer,Chưa có,"Cùng màn theo dõi: ngoài API, app lắng nghe realtime (Supabase) — khi tài xế đổi trạng thái hoặc di chuyển thì bản đồ và timeline tự cập nhật, không cần người dùng tải lại.",order_tracking_page + supabase client,/orders/:id/tracking,,subscribe,status; lat/lng,—,P1,Document channel name cho Flutter team.
37,Đánh giá,BE-059,UC-17,Gửi đánh giá,POST,/api/orders/:id/review,Bearer,Chưa có,"Sau chuyến xong: màn «Đánh giá» → chọn sao, tag (Đúng giờ, Nhiệt tình…), ghi chú → «Gửi». API lưu đánh giá. Thành công → cảm ơn / màn giới thiệu bạn bè → về lịch sử đơn (đơn đó không hỏi đánh giá nữa).",review_trip_page,/orders/:id/review,,rating; comment?; tags[],review,400,P1,
38,Thanh toán,BE-028,UC-12,Đặt cọc,POST,/api/payments/deposit,Bearer,Đã có,Ngay sau khi tạo đơn (bước 30): app gọi API tạo thanh toán cọc (~30% tổng tiền) → nhận link PayOS hoặc QR → mở cổng thanh toán cho người dùng trả. Trả xong (server nhận webhook) → vào theo dõi chuyến.,customer_orders_repository / payments_repository,/booking/payment,,order_id; amount; payment_method,payment_url; qr; expires_at,400,P0,Đã gọi trong customer_orders_repository — hoàn thiện UI mở PayOS.
39,Thanh toán,BE-029,UC-61,Webhook PayOS,POST,/api/webhooks/payos,Server,Đã có,PayOS gọi thẳng vào server khi người dùng trả tiền xong — app khách hàng không gọi API này. Người dùng chỉ thấy trạng đơn đổi sau khi quay lại app hoặc nhận thông báo.,—,—,,PayOS payload,200,—,P0,Flutter: optional polling GET order sau khi user quay lại từ PayOS.
40,Thanh toán,BE-035,UC-12,Lịch sử GD,GET,/api/payments,Bearer,Chưa có,"Tab «Thanh toán»: phần lịch sử — app gọi API danh sách giao dịch (đặt cọc, hoàn tiền…) kèm mã đơn → hiện list. Chạm một dòng → chi tiết giao dịch.",payments_repository.dart,Tab Thanh toán,page; limit,,CustomerPayment[],401,P1,
41,Thanh toán,BE-035,UC-12,Chi tiết GD,GET,/api/payments/:id,Bearer,Chưa có,"Từ lịch sử thanh toán: chạm một giao dịch → app gọi API chi tiết (số tiền, trạng thái, liên kết đơn nào).",payments_repository.dart,/payments/:paymentId,,,PaymentDetail,404,P1,
42,Thanh toán,BE-032,UC-44,Hoàn tiền,POST,/api/payments/refund,Bearer,Chưa có,Thường do hệ thống tự gọi khi hủy đơn — hoàn % tiền cọc. App có thể chỉ hiển thị «Đã hoàn tiền» sau hủy đơn.,—,—,,order_id; reason; percent?,refund,400,P2,
43,Chat đơn,BE-055,UC-15,Inbox chat đơn,GET,/api/conversations,Bearer,Chưa có,"【Khác tab «Tin nhắn» dưới cùng — tab đó là khuyến mãi/thông báo】
Chat với nhà xe: từ thẻ đơn đang chạy trên Trang chủ, hoặc Tab Hoạt động, hoặc màn Theo dõi chuyến → nút «Chat» / «Nhắn tin» → /chat/:conversationId (chat_thread_page). API inbox dùng khi có danh sách hội thoại riêng (hiện app có thể mở thẳng từ conversationId trên đơn).",chat_repository.dart,/chat; /home,,,Conversation[],401,P1,Tạo sau provider accept đơn (BE-054).
44,Chat đơn,BE-055,UC-15,Tin nhắn đơn,GET,/api/conversations/:id/messages,Bearer,Chưa có,Trong chat với nhà xe: mở một hội thoại → app gọi API lấy lịch sử tin nhắn (phân trang nếu nhiều).,chat_repository.dart,/chat/:conversationId,page; limit,,Message[],403,P1,
45,Chat đơn,BE-055,UC-15,Gửi tin đơn,POST,/api/conversations/:id/messages,Bearer,Chưa có,Trong chat với nhà xe: người dùng gõ tin → «Gửi» → API lưu tin → bubble hiện trong khung chat.,chat_repository.dart,/chat/:conversationId,,content; message_type=text,Message,403,P1,
46,Thông báo,BE-056,UC-16,DS thông báo,GET,/api/notifications,Bearer,Chưa có,Tab thứ 4 thanh menu (icon Tin nhắn) = messages_tab_page — chỉ thông báo ưu đãi / voucher / hệ thống (comment trong code: Grab-style). KHÔNG phải chat với tài xế. App gọi mock/API notifications → list card → chạm → /notifications/:id hoặc deep link.,notifications_repository.dart,Tab Tin nhắn,type; page; limit,,Notification[],401,P1,
47,Thông báo,BE-056,UC-16,Badge chưa đọc,GET,/api/notifications/unread-count,Bearer,Chưa có,Khi vào app / sau khi đọc thông báo: app gọi API đếm số chưa đọc → hiện badge số trên tab «Tin nhắn».,notifications_repository.dart,home_shell,,,count,401,P1,
48,Thông báo,BE-057,UC-16,Chi tiết TB,GET,/api/notifications/:id,Bearer,Chưa có,Chạm một thông báo → app gọi API chi tiết (và thường đánh dấu đã đọc) → màn nội dung đầy đủ + nút hành động (Đặt ngay…).,notifications_repository.dart,notification_detail,,,Notification,404,P2,
49,Thông báo,BE-056,UC-16,Mark read,PATCH,/api/notifications/:id/read,Bearer,Chưa có,Đánh dấu đã đọc một thông báo (vuốt hoặc khi mở) → API cập nhật → badge giảm.,notifications_repository.dart,messages_tab,,{},Notification,404,P2,
50,Thông báo,BE-058,UC-58,FCM token,POST,/api/notifications/push-token,Bearer,Chưa có,"Sau khi đăng nhập, app gửi token máy (FCM) lên server để sau này nhận push «Đơn được nhận», «Có tin nhắn»… Người dùng không thấy bước riêng.",firebase messaging wrapper,—,,token; platform,message,401,P2,
51,Pass đồ,PASS-01,UC-Pass,Khám phá tin,GET,/api/pass-items,Bearer (tùy),Chưa có — Mới,Tab Pass đồ → «Khám phá»: app gọi API lấy tin người khác đăng (lọc từ khóa/danh mục) → lưới thẻ tin. Chạm tin → màn chi tiết.,pass_item_repository.dart → fetchBrowse(),/pass-items,keyword; category; page; limit,,PassItemPost[],401,P1,Thay mock _posts filter.
52,Pass đồ,PASS-01,UC-Pass,Tin của tôi,GET,/api/pass-items/mine,Bearer,Chưa có — Mới,"Tab Pass đồ → «Tin của tôi»: app gọi API chỉ tin do mình đăng → quản lý, sửa trạng thái, thấy có bao nhiêu người quan tâm.",pass_item_repository.dart → fetchMine(),/pass-items,page; limit,,PassItemPost[],401,P1,
53,Pass đồ,PASS-01,UC-Pass,Chi tiết tin,GET,/api/pass-items/:id,Bearer,Chưa có — Mới,"Màn chi tiết một tin Pass đồ:
• Người mua: xem giá, mô tả → «Tôi muốn nhận» → chat; nếu đã chốt giá thì thấy «Đặt xe lấy đồ», chưa chốt thì chờ.
• Người bán: thấy «Người quan tâm», vào chat từng khách, «Chốt đơn» / «Huỷ chốt» (nếu khách chưa đặt xe).",pass_item_repository.dart → getById(),/pass-items/:id,,,PassItemPost,404,P0,"Map deal_confirmed, buyer_transport_booked từ API."
54,Pass đồ,PASS-02,UC-Pass,Đăng tin,POST,/api/pass-items,Bearer,Chưa có — Mới,"«Đăng tin mới»: điền tên món, mô tả, loại, tình trạng, khu vực, giá (0 = cho tặng), ảnh → «Đăng». API tạo tin + báo phí đăng tin (nếu có) → có thể mở PayOS trả phí → xong thì tin hiện ở «Tin của tôi» / Khám phá.",pass_item_repository.dart → create(),/pass-items/new,,title; description; category; condition; area; price; image_url?; is_negotiable?,item; listing_fee,422,P0,Upload ảnh trước qua POST /uploads.
55,Pass đồ,PASS-03,UC-Pass,Trả phí đăng tin,POST,/api/pass-items/:id/listing-fee/pay,Bearer,Chưa có — Mới,Ngay sau đăng tin nếu cần trả phí đăng: app gọi API thanh toán phí → mở PayOS giống đặt cọc → trả xong tin mới hiện công khai.,pass_item_repository.dart,/pass-items/new,,payment_method: payos,payos URL/QR,400,P1,
56,Pass đồ,PASS-04,UC-Pass,Đổi trạng thái tin,PATCH,/api/pass-items/:id/status,Bearer Seller,Chưa có — Mới,Người bán trên tin của mình: đổi trạng thái (đang mở / đã giữ / ẩn tin…) → API cập nhật → chip trạng thái đổi trên UI.,pass_item_repository.dart,/pass-items/:id,,status,PassItemPost,403,P1,
57,Pass đồ,PASS-05,UC-Pass,Quan tâm tin,POST,/api/pass-items/:id/interest,Bearer Buyer,Chưa có — Mới,Người mua trên tin người khác: bấm «Tôi muốn nhận» → API ghi nhận quan tâm → người bán thấy tên trong «Người quan tâm» → thường mở luôn màn chat với người bán.,pass_item_repository.dart → expressInterest(),/pass-items/:id,,note?,interested; interested_count,400 seller; 409,P0,Seed message đầu thread phía BE hoặc app.
58,Pass đồ,PASS-06,UC-Pass,DS khách quan tâm,GET,/api/pass-items/:id/interested-buyers,Bearer Seller,Chưa có — Mới,"Người bán: trên chi tiết tin hoặc inbox chat (không chọn khách cụ thể) → API lấy danh sách khách đã quan tâm, tin nhắn cuối, số chưa đọc → chạm một khách → chat riêng với khách đó (?buyer= id).",pass_item_repository.dart → interestedBuyers(),/pass-items/:id; /pass-items/:id/chat,,,PassInterestedBuyer[],403,P0,pass_interested_buyer_tile.dart đã có UI.
59,Pass đồ,PASS-07,UC-Pass,Đọc chat Pass,GET,/api/pass-items/:id/chat/:buyerId/messages,Bearer,Chưa có — Mới,Màn chat Pass đồ (một khách cụ thể): app gọi API lấy toàn bộ tin (người mua / người bán / hệ thống «Đã chốt đơn»). Người bán mở thread → đánh dấu đã đọc (hết badge).,pass_item_repository.dart → fetchMessages(),/pass-items/:id/chat?buyer=,mark_read=true,,PassChatMessage[],403,P0,Route app_router đã có query buyer.
60,Pass đồ,PASS-07,UC-Pass,Gửi chat Pass,POST,/api/pass-items/:id/chat/:buyerId/messages,Bearer,Chưa có — Mới,Cùng màn chat: gõ tin hoặc «Đề nghị giá» → Gửi → API lưu → hiện bubble. Chốt đơn không gửi bằng tin thường mà dùng API chốt (dòng 61).,pass_item_repository.dart → sendMessage(),/pass-items/:id/chat,,text; is_offer?; offer_amount?,PassChatMessage,403,P0,
61,Pass đồ,PASS-08,UC-Pass,Chốt đơn,POST,/api/pass-items/:id/deal/confirm,Bearer Seller,Chưa có — Mới,Người bán trong chat: menu «Chốt đơn» → có thể nhập giá thỏa thuận (hoặc dùng giá đăng) → API chốt. Khách thấy tin hệ thống «Đã chốt đơn… có thể đặt xe» và trên chi tiết tin hiện nút «Đặt xe lấy đồ».,pass_item_repository.dart → confirmDeal(),chat: Chốt đơn,,agreed_price?,deal_confirmed; confirmed_price; status,400; 403,P0,Lỗi nếu buyer_transport_booked.
62,Pass đồ,PASS-09,UC-Pass,Hủy chốt,POST,/api/pass-items/:id/deal/cancel,Bearer Seller,Chưa có — Mới,"Người bán đổi ý trước khi khách đặt xe: «Huỷ chốt đơn» → API mở lại thương lượng → khách mất nút đặt xe đến khi chốt lại. Nếu khách đã đặt xe rồi: app không cho huỷ chốt, báo «Khách đã đặt xe».",pass_item_repository.dart → cancelDealConfirmation(),detail; chat,,,deal mở lại,403,P0,sellerCanCancelDeal = dealConfirmed && !buyerTransportBooked.
63,Pass đồ,PASS-10,UC-Pass,Đã đặt xe,POST,/api/pass-items/:id/transport-booked,Bearer Buyer,Chưa có — Mới,"Người mua: sau chốt đơn, bấm «Đặt xe lấy đồ» trên chi tiết tin → BookingFlowCubit.startPassItemDelivery → /booking/location (tiêu đề «Chở đồ về nhà»). Nhập địa chỉ nhận → «Tiếp tục» → app gọi markTransportBooked (mock) RỒI push /booking/packages → partners → insurance → payment. Khóa huỷ chốt cho seller sau bước này.",pass_item_repository.dart → markTransportBooked(),/booking/location,,order_id?,buyer_transport_booked: true,403,P0,choose_location_page đã gọi mock — đổi sang API.
64,Pass đồ,PASS-11,UC-Pass,Báo giá VC (optional),GET,/api/pass-items/:id/transport-quotes,Bearer,Chưa có — Mới,"Tùy chọn trên tin Pass: app gọi vài báo giá vận chuyển nhanh — có thể bỏ, dùng luồng chọn nhà xe bình thường.",pass_item_repository.dart,/pass-items/:id,,,TransportQuote[],404,P2,
65,Upload,BE-060,UC-62,Upload file,POST,/api/uploads,Bearer,Chưa có,Trước khi đăng tin Pass hoặc đổi avatar: chọn ảnh trên máy → API upload → nhận link ảnh → gắn vào form đăng tin / hồ sơ.,upload helper,create_pass_item; edit_profile,,multipart file; bucket,url; path,413,P1,
66,Giới thiệu,BE-060,UC-62,Mã giới thiệu,GET,/api/referrals/me,Bearer,Chưa có,Sau khi gửi đánh giá chuyến đi xong: app có thể gọi API lấy mã giới thiệu bạn bè + số thưởng → hiện popup chia sẻ.,review flow,sau /orders/:id/review,,,referral_code; reward_amount; share_message,401,P2,
