ID,Use Case,Actors,Use Case Description
UC-01,Đăng ký tài khoản,Customer,"Người dùng tạo tài khoản mới trên Customer App với email, mật khẩu, họ tên và số điện thoại. Hệ thống lưu vào PostgreSQL và gán role customer."
UC-02,Đăng nhập,Customer,"Khách hàng đăng nhập bằng email/mật khẩu. Hệ thống xác thực và trả JWT để gọi API."
UC-03,Quên mật khẩu,Customer,"Người dùng yêu cầu đặt lại mật khẩu qua email. Hệ thống gửi OTP; người dùng nhập OTP và mật khẩu mới."
UC-04,Xem trang chủ,Customer,"Xem dashboard với các lối tắt: đặt chuyển trọ, combo, khuân vác, Pass đồ, so sánh nhà xe, khuyến mãi và hoạt động gần đây."
UC-05,Tìm / duyệt nhà xe,Customer,"Duyệt danh sách nhà xe đã xác minh, lọc theo giá, rating, khoảng cách và sắp xếp trước khi chọn đối tác."
UC-06,Nhập địa chỉ đi/đến,Customer,"Nhập hoặc chọn điểm lấy và giao trên bản đồ. Hệ thống gợi ý địa điểm gần đây và tính khoảng cách tuyến."
UC-07,Chọn lịch chuyển trọ,Customer,"Chọn ngày giờ vận chuyển và nhập chi tiết ký túc xá (đồ đạc, tầng, thang máy)."
UC-08,Chọn gói combo dịch vụ,Customer,"Chọn gói combo (Economy/Standard/Premium) gồm xe và nhân công khuân vác với giá niêm yết."
UC-09,Nhập thông tin đồ đạc,Customer,"Mô tả đồ cần chuyển (tủ, tủ lạnh, bàn ghế, thùng carton) để ước tính giá và loại xe."
UC-10,Xem giá dịch vụ,Customer,"Xem bảng giá dự kiến: cước cơ bản, khoảng cách, phí tầng, khuân vác, bảo hiểm, giảm giá và tiền cọc."
UC-11,Đặt đơn hàng,Customer,"Xác nhận và tạo đơn vận chuyển gắn với nhà xe, gói dịch vụ, địa chỉ và giá. Trạng thái ban đầu: pending."
UC-12,Thanh toán đặt cọc,Customer; Payment Service (PayOS),"Thanh toán cọc (thường 30%) qua PayOS QR/link. Webhook xác nhận; đơn chuyển sang ghép nhà xe."
UC-13,Theo dõi đơn hàng,Customer,"Theo dõi vòng đời đơn: pending, accepted, picking up, in progress, completed, cancelled."
UC-14,Xem vị trí realtime,Customer; Provider,"Xem vị trí nhà xe trên Google Maps khi đơn đang chạy. Provider gửi GPS; hệ thống cập nhật ETA."
UC-15,Chat với provider,Customer; Provider,"Trao đổi tin nhắn realtime trên đơn đang hoạt động. Lịch sử chat lưu trong database."
UC-16,Nhận thông báo,Customer,"Nhận thông báo in-app và push về đơn hàng, chat, Pass đồ và khuyến mãi."
UC-17,Đánh giá provider,Customer,"Sau khi hoàn thành đơn, chấm sao và viết review cho nhà xe."
UC-18,Quản lý hồ sơ,Customer,"Xem/sửa họ tên, SĐT, mã SV, trường, avatar. Email và role không đổi qua API profile."
UC-19,Xem lịch sử đơn hàng,Customer,"Xem danh sách đơn cũ và đang chạy, lọc theo trạng thái, mở chi tiết và tracking."
UC-20,Đăng ký provider,Provider,"Đơn vị vận chuyển đăng ký qua Provider App với tên doanh nghiệp và giấy tờ. Role provider, trạng thái chờ xác minh."
UC-21,Đăng nhập provider,Provider,"Provider đăng nhập email/mật khẩu hoặc Google. Nhận JWT cho API provider."
UC-22,Upload giấy tờ xác minh,Provider,"Upload GPLX, CCCD, đăng ký xe, bảo hiểm để admin duyệt."
UC-23,Xem trạng thái xác minh,Provider,"Theo dõi trạng thái: pending, approved, rejected kèm ghi chú admin."
UC-24,Xem dashboard provider,Provider,"Xem đơn hôm nay, doanh thu tóm tắt và KPI vận hành."
UC-25,Xem đơn mới,Provider,"Nhận và xem đơn mới được gán hoặc có trong khu vực phục vụ."
UC-26,Chấp nhận đơn,Provider,"Nhận đơn pending. Cọc được giữ escrow; thông báo cho khách."
UC-27,Từ chối đơn,Provider,"Từ chối đơn kèm lý do. Hệ thống có thể gán lại hoặc để pending."
UC-28,Xem chi tiết đơn,Provider,"Xem thông tin khách, địa chỉ, đồ đạc, giá và chat của đơn cụ thể."
UC-29,Bắt đầu vận chuyển,Provider,"Cập nhật trạng thái picking up / in progress và bắt đầu thực hiện."
UC-30,Gửi vị trí realtime,Provider,"App provider gửi GPS trong đơn đang chạy để khách theo dõi bản đồ."
UC-31,Hoàn thành đơn hàng,Provider,"Đánh dấu đã giao xong. Kích hoạt xác nhận khách và giải phóng thanh toán."
UC-32,Chat với customer,Provider; Customer,"Trao đổi tin nhắn với khách trên đơn hoặc ngữ cảnh marketplace."
UC-33,Xem doanh thu,Provider,"Xem lịch sử thu nhập, số dư và doanh thu đơn hoàn thành."
UC-34,Quản lý gói dịch vụ,Provider,"Tạo/sửa gói: loại xe, giá cơ bản, giá/km, số người khuân vác, bảo hiểm."
UC-35,Nhận thông báo,Provider,"Nhận push/in-app về đơn mới, tin nhắn, thanh toán và review."
UC-36,Quản lý hồ sơ provider,Provider,"Cập nhật hồ sơ doanh nghiệp, xe, khu vực, lịch rảnh và tài khoản nhận tiền."
UC-37,Admin đăng nhập,Administrator,"Admin xác thực vào Admin Web Dashboard (Next.js) với role admin."
UC-38,Xem dashboard tổng quan,Administrator,"Xem KPI: GMV, doanh thu, số đơn, user/provider active, hoa hồng và biểu đồ."
UC-39,Quản lý customer,Administrator,"Tìm kiếm, xem tài khoản khách; suspend/activate khi cần."
UC-40,Quản lý provider,Administrator,"Liệt kê provider, xem hồ sơ và trạng thái vận hành."
UC-41,Xác minh provider,Administrator,"Duyệt giấy tờ; approve hoặc reject kèm ghi chú."
UC-42,Quản lý đơn hàng,Administrator,"Xem toàn bộ đơn, lọc trạng thái, theo dõi tranh chấp."
UC-43,Force cancel đơn,Administrator,"Hủy đơn khi cần theo chính sách hoặc xử lý tranh chấp."
UC-44,Xử lý refund,Administrator; Payment Service (PayOS),"Duyệt hoàn tiền toàn phần/một phần theo quy tắc hủy/tranh chấp; PayOS xử lý refund."
UC-45,Xử lý khiếu nại,Administrator,"Xem bằng chứng, chat log và quyết định giải pháp kèm hoàn tiền."
UC-46,Quản lý review,Administrator,"Kiểm duyệt review; ẩn/xóa nội dung vi phạm."
UC-47,Gửi thông báo hệ thống,Administrator,"Phát thông báo broadcast hoặc theo nhóm người dùng."
UC-48,Xem analytics,Administrator,"Xem thống kê doanh thu, hiệu suất provider và đơn hàng."
UC-49,Xem activity logs,Administrator,"Audit hành động admin và sự kiện hệ thống quan trọng."
UC-50,Xem landing page,Guest,"Khách truy cập trang giới thiệu UniMove (đang triển khai một phần)."
UC-51,Xem bảng giá,Guest,"Xem thông tin giá tham khảo dịch vụ không cần đăng nhập (đang triển khai)."
UC-52,Xem danh sách provider,Guest,"Duyệt thông tin nhà xe công khai (đang triển khai)."
UC-53,Xem FAQ,Guest,"Đọc câu hỏi thường gặp (đang triển khai)."
UC-54,Liên hệ hỗ trợ,Guest,"Gửi form liên hệ/hỗ trợ (đang triển khai)."
UC-55,Đăng ký từ website,Guest,"Tạo tài khoản từ website công khai (chuyển sang luồng đăng ký app)."
UC-56,Đăng nhập từ website,Guest,"Đăng nhập từ điểm vào website công khai."
UC-57,Xác thực JWT,System,"API Node.js xác thực Bearer JWT và phân quyền theo role (customer, provider, admin)."
UC-58,Gửi push notification,System,"Gửi FCM khi có sự kiện đơn hàng, chat, thanh toán, marketplace."
UC-59,Đồng bộ tracking realtime,System,"Lưu và phân phối cập nhật vị trí provider cho đơn đang chạy."
UC-60,Đồng bộ chat realtime,System,"Lưu và gửi tin nhắn chat gần realtime giữa các bên."
UC-61,Xử lý thanh toán,System; Payment Service (PayOS),"Tạo thanh toán PayOS, xử lý webhook, cập nhật payment/order idempotent."
UC-62,Upload hình ảnh,System,"Upload avatar, ảnh tin Pass đồ, giấy tờ provider, ảnh giao hàng lên Supabase Storage/Cloudinary."
UC-63,Lưu lịch sử chat,System,"Lưu tin nhắn marketplace và đơn hàng trong PostgreSQL."
UC-64,Quản lý dữ liệu,System,"Quản lý PostgreSQL qua Supabase với RLS, migration và Node API service-role."
UC-65,Khám phá tin Pass đồ,Customer (Buyer),"Duyệt tin đồ cũ C2C trên tab Khám phá, lọc tỉnh/thành, danh mục, từ khóa."
UC-66,Đăng tin Pass đồ,Customer (Seller),"Đăng tin với tiêu đề, mô tả, ảnh, danh mục, tình trạng, khu vực lấy và giá (miễn phí/thương lượng)."
UC-67,Thanh toán phí đăng tin Pass đồ,Customer (Seller); Payment Service (PayOS),"Trả phí đăng tin qua PayOS khi bắt buộc trước khi tin hiển thị công khai."
UC-68,Quan tâm tin Pass đồ,Customer (Buyer),"Bấm ""Tôi muốn nhận"". Người bán thấy buyer trong danh sách quan tâm."
UC-69,Chat thương lượng Pass đồ,Customer (Buyer); Customer (Seller),"Chat thương lượng giá và chi tiết lấy đồ. Buyer có thể đề nghị giá."
UC-70,Chốt đơn Pass đồ,Customer (Seller),"Xác nhận chốt với một buyer tại giá thỏa thuận. Tin reserved; buyer được đặt xe."
UC-71,Huỷ chốt đơn Pass đồ,Customer (Seller),"Huỷ chốt chỉ khi buyer chưa mark transport booked."
UC-72,Đặt xe lấy đồ Pass đồ,Customer (Buyer),"Sau chốt đơn: điểm lấy = area tin, điểm giao do buyer chọn; combo hoặc chuyến thường; thanh toán cọc."
UC-73,Xác nhận nhận đồ & đánh giá seller,Customer (Buyer),"Xác nhận đã nhận đồ sau giao hàng và đánh giá người bán; tin completed."
UC-74,Đặt dịch vụ khuân vác,Customer,"Đặt khuân vác độc lập: cấu hình số người, giờ, tầng, chọn provider, thanh toán cọc."
UC-75,Thêm khuân vác vào đơn chuyển,Customer,"Thêm gói khuân vác vào đơn chuyển trọ đang có từ màn hình hoạt động."
UC-76,Chọn bảo hiểm đồ đạc,Customer,"Chọn gói bảo hiểm (none/basic/standard/premium) trước checkout."
UC-77,Đăng nhập Google,Customer; Provider; Google Authentication Service,"Đăng ký/đăng nhập OAuth Google; hệ thống tạo hoặc liên kết profile."
UC-78,Đổi mật khẩu,Customer; Provider,"Người dùng đã đăng nhập đổi mật khẩu bằng mật khẩu hiện tại và mật khẩu mới."
UC-79,Xem địa điểm gần đây,Customer,"Hệ thống trả địa chỉ pickup/delivery gần đây từ lịch sử đơn để nhập nhanh."
UC-80,Xem chi tiết nhà xe,Customer,"Xem hồ sơ chi tiết: gói dịch vụ, tổng hợp rating và review gần nhất."
UC-81,Áp dụng mã giảm giá,Customer,"Nhập mã khuyến mãi khi thanh toán; hệ thống validate và giảm tổng tiền."
UC-82,Hoàn thành onboarding,Customer,"Lần đầu xem màn hướng dẫn giới thiệu dịch vụ UniMove trước login/home."
UC-83,Quản lý phương thức thanh toán,Customer,"Xem/quản lý phương thức thanh toán đã lưu và lịch sử ví/thanh toán."
UC-84,Xem bảng giá tham chiếu,Customer,"Xem hướng dẫn giá tham khảo gói chuyển trọ trước khi đặt."
UC-85,Cấu hình tài khoản nhận tiền,Provider,"Thêm/cập nhật tài khoản ngân hàng để nhận doanh thu."
UC-86,Đăng ký tài xế,Provider,"Đăng ký thông tin tài xế liên kết vận hành vận chuyển."
UC-87,Xem đánh giá provider,Provider,"Xem rating và review nhận từ khách hàng."
UC-88,Phản hồi đánh giá,Provider,"Trả lời review của khách hàng trên đơn đã hoàn thành."
UC-89,Báo giá đơn hàng,Provider,"Gửi báo giá cho đơn yêu cầu quotation trước khi khách chấp nhận."
UC-90,Upload ảnh giao hàng,Provider,"Upload ảnh bằng chứng khi hoàn thành giao hàng."
UC-91,Quản lý trạng thái tin Pass đồ,Customer (Seller),"Cập nhật tin: active, hidden, reserved, closed."
UC-92,Xem tin Pass đồ yêu thích,Customer (Buyer),"Xem tin đã quan tâm/lưu trong tab Yêu thích."
UC-93,Đẩy tin Pass đồ (bump),Customer (Seller),"Đẩy tin lên đầu danh sách (giới hạn tần suất, ví dụ 1 lần/24h)."
UC-94,Xem thống kê người bán Pass đồ,Customer (Seller),"Xem thống kê uy tín người bán (số giao dịch, rating) trên profile seller."
UC-95,Chấp nhận báo giá nhà xe,Customer,"Xem và chấp nhận một báo giá từ provider cho đơn chuyến báo giá."
UC-96,Ước tính hoàn tiền khi hủy đơn,Customer,"Xem mức hoàn tiền dự kiến trước khi hủy đơn theo chính sách."
UC-97,Hủy đơn hàng,Customer,"Hủy đơn đang pending/accepted theo quy tắc hoàn tiền."
UC-98,Quản lý lịch rảnh provider,Provider,"Xem và cập nhật lịch availability phục vụ nhận đơn."
UC-99,Bỏ qua đơn (skip),Provider,"Bỏ qua đơn được gán mà không từ chối chính thức (theo luồng matching)."
UC-100,Yêu cầu hoàn tiền,Customer,"Khách gửi yêu cầu refund cho thanh toán/đơn hàng."
UC-101,Duyệt rút tiền provider,Administrator,"Duyệt hoặc từ chối yêu cầu rút tiền doanh thu của provider."
UC-102,Quản lý thông báo hệ thống,Administrator,"Tạo, xuất bản thông báo/announcement trên nền tảng."
UC-103,Cấu hình nền tảng,Administrator,"Xem và cập nhật cài đặt hệ thống (phí, chính sách, tham số vận hành)."
UC-104,Gợi ý địa chỉ bản đồ,System; Google Maps,"Autocomplete và geocode địa chỉ qua Google Maps API khi nhập địa điểm."
UC-105,Đánh dấu đã đọc thông báo,Customer; Provider,"Đánh dấu một hoặc tất cả thông báo là đã đọc; cập nhật badge unread."
